Sample	bcl2fastq_mqc-generalstats-bcl2fastq-total	bcl2fastq_mqc-generalstats-bcl2fastq-yieldQ30	bcl2fastq_mqc-generalstats-bcl2fastq-percent_R1_Q30	bcl2fastq_mqc-generalstats-bcl2fastq-percent_R2_Q30	bcl2fastq_mqc-generalstats-bcl2fastq-perfectPercent	bcl2fastq_mqc-generalstats-bcl2fastq-R1_trimmed_bases	bcl2fastq_mqc-generalstats-bcl2fastq-R2_trimmed_bases	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
37446-807138-201401561ZG-0-22H00891	20940870	5532029023	89.2	85.7	99.3	0	0					
37446-807138-201401561ZG-0-22H00891_S1_R1_001								90.03304689914563	47.0	151.0	36.36363636363637	20940870.0
37446-807138-201401561ZG-0-22H00891_S1_R2_001								87.13577108850775	47.0	151.0	27.27272727272727	20940870.0
37446-807140-202200699MB-0-22H00931	19980514	5292707292	88.8	86.7	99.2	0	0					
37446-807140-202200699MB-0-22H00931_S2_R1_001								88.86451479910114	49.0	151.0	36.36363636363637	19980514.0
37446-807140-202200699MB-0-22H00931_S2_R2_001								87.0474452464874	49.0	151.0	36.36363636363637	19980514.0
37446-807144-201707892UZ-0-22G00068	20084246	5315334672	89.3	86.0	99.2	0	0					
37446-807144-201707892UZ-0-22G00068_S3_R1_001								89.0338249044258	50.0	151.0	36.36363636363637	20084246.0
37446-807144-201707892UZ-0-22G00068_S3_R2_001								86.8610377962359	50.0	151.0	36.36363636363637	20084246.0
37446-807146-202200577FL-0-011220280692	18372534	4738864008	86.5	84.3	99.2	0	0					
37446-807146-202200577FL-0-011220280692_S4_R1_001								88.30659393365511	59.0	151.0	27.27272727272727	18372534.0
37446-807146-202200577FL-0-011220280692_S4_R2_001								85.96695892184889	59.0	151.0	36.36363636363637	18372534.0
37446-807148-202110792EU-0-011220330265	15419412	3913371109	86.0	82.1	99.3	0	0					
37446-807148-202110792EU-0-011220330265_S5_R1_001								89.36955434621473	60.0	151.0	36.36363636363637	15419412.0
37446-807148-202110792EU-0-011220330265_S5_R2_001								85.74832416080915	60.0	151.0	36.36363636363637	15419412.0
37446-807399-202201588KH-0-033220340221	20735599	5492194820	88.6	86.8	99.3	0	0					
37446-807399-202201588KH-0-033220340221_S6_R1_001								87.86447135210153	53.0	151.0	18.181818181818183	20735599.0
37446-807399-202201588KH-0-033220340221_S6_R2_001								85.73132337887299	53.0	151.0	18.181818181818183	20735599.0
37446-807552-202006789SB-0-033220350475	20802172	5554550481	88.9	87.9	99.1	0	0					
37446-807552-202006789SB-0-033220350475_S7_R1_001								87.53158255849178	52.0	151.0	18.181818181818183	20802172.0
37446-807552-202006789SB-0-033220350475_S7_R2_001								86.2054965673594	52.0	151.0	18.181818181818183	20802172.0
37446-807579-0-0-0	37120	9795096	88.2	86.5	98.9	0	0					
37446-807579-0-0-0_S8_R1_001								92.32758620689656	54.0	151.0	36.36363636363637	37120.0
37446-807579-0-0-0_S8_R2_001								91.50862068965517	54.0	151.0	36.36363636363637	37120.0
undetermined	7850488	2025213461			0.0							
