Module	Section	Sample Name	Source
FastQC	all_sections	37446-807148-202110792EU-0-011220330265_S5_R1_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807148-202110792EU-0-011220330265_S5_R1_001_fastqc.zip
FastQC	all_sections	37446-807144-201707892UZ-0-22G00068_S3_R1_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807144-201707892UZ-0-22G00068_S3_R1_001_fastqc.zip
FastQC	all_sections	37446-807140-202200699MB-0-22H00931_S2_R2_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807140-202200699MB-0-22H00931_S2_R2_001_fastqc.zip
FastQC	all_sections	37446-807144-201707892UZ-0-22G00068_S3_R2_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807144-201707892UZ-0-22G00068_S3_R2_001_fastqc.zip
FastQC	all_sections	37446-807146-202200577FL-0-011220280692_S4_R2_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807146-202200577FL-0-011220280692_S4_R2_001_fastqc.zip
FastQC	all_sections	37446-807146-202200577FL-0-011220280692_S4_R1_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807146-202200577FL-0-011220280692_S4_R1_001_fastqc.zip
FastQC	all_sections	37446-807552-202006789SB-0-033220350475_S7_R2_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807552-202006789SB-0-033220350475_S7_R2_001_fastqc.zip
FastQC	all_sections	37446-807579-0-0-0_S8_R2_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807579-0-0-0_S8_R2_001_fastqc.zip
FastQC	all_sections	37446-807552-202006789SB-0-033220350475_S7_R1_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807552-202006789SB-0-033220350475_S7_R1_001_fastqc.zip
FastQC	all_sections	37446-807140-202200699MB-0-22H00931_S2_R1_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807140-202200699MB-0-22H00931_S2_R1_001_fastqc.zip
FastQC	all_sections	37446-807138-201401561ZG-0-22H00891_S1_R1_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807138-201401561ZG-0-22H00891_S1_R1_001_fastqc.zip
FastQC	all_sections	37446-807399-202201588KH-0-033220340221_S6_R1_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807399-202201588KH-0-033220340221_S6_R1_001_fastqc.zip
FastQC	all_sections	37446-807579-0-0-0_S8_R1_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807579-0-0-0_S8_R1_001_fastqc.zip
FastQC	all_sections	37446-807399-202201588KH-0-033220340221_S6_R2_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807399-202201588KH-0-033220340221_S6_R2_001_fastqc.zip
FastQC	all_sections	37446-807138-201401561ZG-0-22H00891_S1_R2_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807138-201401561ZG-0-22H00891_S1_R2_001_fastqc.zip
FastQC	all_sections	37446-807148-202110792EU-0-011220330265_S5_R2_001	/mnt/beegfs/scratch/svc_hpc_biopath/multiqc_test/220209_NS500197_0873_AHH33LAFX3/unaligned/BIOPATH_SOLID_TUMOR/37446-807148-202110792EU-0-011220330265_S5_R2_001_fastqc.zip
bcl2fastq	bcl2fastq-bysample	37446-807138-201401561ZG-0-22H00891	./unaligned/Stats/Stats.json
bcl2fastq	bcl2fastq-bysample	37446-807140-202200699MB-0-22H00931	./unaligned/Stats/Stats.json
bcl2fastq	bcl2fastq-bysample	37446-807144-201707892UZ-0-22G00068	./unaligned/Stats/Stats.json
bcl2fastq	bcl2fastq-bysample	37446-807146-202200577FL-0-011220280692	./unaligned/Stats/Stats.json
bcl2fastq	bcl2fastq-bysample	37446-807148-202110792EU-0-011220330265	./unaligned/Stats/Stats.json
bcl2fastq	bcl2fastq-bysample	37446-807399-202201588KH-0-033220340221	./unaligned/Stats/Stats.json
bcl2fastq	bcl2fastq-bysample	37446-807552-202006789SB-0-033220350475	./unaligned/Stats/Stats.json
bcl2fastq	bcl2fastq-bysample	37446-807579-0-0-0	./unaligned/Stats/Stats.json
